game_id,show_number,air_date,comments,contestant,final_score,winner,url,season
190,2819,1996-11-28T00:00:00Z,1996 Tournament of Champions final game 1.,Michael Daunt,8200,FALSE,https://j-archive.com/showgame.php?game_id=190,13
119,2818,1996-11-27T00:00:00Z,1996 Tournament of Champions semifinal game 3.,Mike Dupée,11100,TRUE,https://j-archive.com/showgame.php?game_id=119,13
119,2818,1996-11-27T00:00:00Z,1996 Tournament of Champions semifinal game 3.,Beverly Spurs,5500,FALSE,https://j-archive.com/showgame.php?game_id=119,13
119,2818,1996-11-27T00:00:00Z,1996 Tournament of Champions semifinal game 3.,Shane Whitlock,500,FALSE,https://j-archive.com/showgame.php?game_id=119,13
372,2817,1996-11-26T00:00:00Z,1996 Tournament of Champions semifinal game 2.,Mary Hirschfeld,6599,FALSE,https://j-archive.com/showgame.php?game_id=372,13
372,2817,1996-11-26T00:00:00Z,1996 Tournament of Champions semifinal game 2.,Michael Daunt,8101,TRUE,https://j-archive.com/showgame.php?game_id=372,13
372,2817,1996-11-26T00:00:00Z,1996 Tournament of Champions semifinal game 2.,Bill Sloan,200,FALSE,https://j-archive.com/showgame.php?game_id=372,13
376,2816,1996-11-25T00:00:00Z,1996 Tournament of Champions semifinal game 1.,Bill Dickenson,-300,FALSE,https://j-archive.com/showgame.php?game_id=376,13
376,2816,1996-11-25T00:00:00Z,1996 Tournament of Champions semifinal game 1.,Amanda Goad,17799,FALSE,https://j-archive.com/showgame.php?game_id=376,13
376,2816,1996-11-25T00:00:00Z,1996 Tournament of Champions semifinal game 1.,Bob Scarpone,17801,TRUE,https://j-archive.com/showgame.php?game_id=376,13
371,2815,1996-11-22T00:00:00Z,1996 Tournament of Champions quarterfinal game 5.,Michael Daunt,10300,TRUE,https://j-archive.com/showgame.php?game_id=371,13
371,2815,1996-11-22T00:00:00Z,1996 Tournament of Champions quarterfinal game 5.,Barbara Walker,0,FALSE,https://j-archive.com/showgame.php?game_id=371,13
371,2815,1996-11-22T00:00:00Z,1996 Tournament of Champions quarterfinal game 5.,Bob Scarpone,7901,FALSE,https://j-archive.com/showgame.php?game_id=371,13
384,2814,1996-11-21T00:00:00Z,1996 Tournament of Champions quarterfinal game 4.,David Sampugnaro,0,FALSE,https://j-archive.com/showgame.php?game_id=384,13
384,2814,1996-11-21T00:00:00Z,1996 Tournament of Champions quarterfinal game 4.,Bill Dickenson,11601,TRUE,https://j-archive.com/showgame.php?game_id=384,13
384,2814,1996-11-21T00:00:00Z,1996 Tournament of Champions quarterfinal game 4.,Lucien Schmit,1800,FALSE,https://j-archive.com/showgame.php?game_id=384,13
389,2813,1996-11-20T00:00:00Z,1996 Tournament of Champions quarterfinal game 3.,Mike Dupée,13601,TRUE,https://j-archive.com/showgame.php?game_id=389,13
389,2813,1996-11-20T00:00:00Z,1996 Tournament of Champions quarterfinal game 3.,Bill Sloan,10100,FALSE,https://j-archive.com/showgame.php?game_id=389,13
389,2813,1996-11-20T00:00:00Z,1996 Tournament of Champions quarterfinal game 3.,Amanda Goad,9600,FALSE,https://j-archive.com/showgame.php?game_id=389,13
386,2812,1996-11-19T00:00:00Z,1996 Tournament of Champions quarterfinal game 2.,Bernie Cullen,799,FALSE,https://j-archive.com/showgame.php?game_id=386,13
386,2812,1996-11-19T00:00:00Z,1996 Tournament of Champions quarterfinal game 2.,Beverly Spurs,11700,TRUE,https://j-archive.com/showgame.php?game_id=386,13
386,2812,1996-11-19T00:00:00Z,1996 Tournament of Champions quarterfinal game 2.,David Cuneo,0,FALSE,https://j-archive.com/showgame.php?game_id=386,13
383,2811,1996-11-18T00:00:00Z,1996 Tournament of Champions quarterfinal game 1.,Brad Plovan,1800,FALSE,https://j-archive.com/showgame.php?game_id=383,13
383,2811,1996-11-18T00:00:00Z,1996 Tournament of Champions quarterfinal game 1.,Mary Hirschfeld,17000,TRUE,https://j-archive.com/showgame.php?game_id=383,13
383,2811,1996-11-18T00:00:00Z,1996 Tournament of Champions quarterfinal game 1.,Shane Whitlock,10100,FALSE,https://j-archive.com/showgame.php?game_id=383,13
3013,2810,1996-11-15T00:00:00Z,1996 Celebrity Jeopardy! game 5.,Robert Loggia,3400,FALSE,https://j-archive.com/showgame.php?game_id=3013,13
3013,2810,1996-11-15T00:00:00Z,1996 Celebrity Jeopardy! game 5.,Renee Taylor,1300,FALSE,https://j-archive.com/showgame.php?game_id=3013,13
3013,2810,1996-11-15T00:00:00Z,1996 Celebrity Jeopardy! game 5.,Alicia Witt,7400,TRUE,https://j-archive.com/showgame.php?game_id=3013,13
3011,2809,1996-11-14T00:00:00Z,1996 Celebrity Jeopardy! game 4.,Brett Butler,2000,TRUE,https://j-archive.com/showgame.php?game_id=3011,13
3011,2809,1996-11-14T00:00:00Z,1996 Celebrity Jeopardy! game 4.,Buzz Aldrin,1200,FALSE,https://j-archive.com/showgame.php?game_id=3011,13
3011,2809,1996-11-14T00:00:00Z,1996 Celebrity Jeopardy! game 4.,Eartha Kitt,0,FALSE,https://j-archive.com/showgame.php?game_id=3011,13
3010,2808,1996-11-13T00:00:00Z,1996 Celebrity Jeopardy! game 3.,Carl Lewis,0,TRUE,https://j-archive.com/showgame.php?game_id=3010,13
3010,2808,1996-11-13T00:00:00Z,1996 Celebrity Jeopardy! game 3.,Jon Lovitz,0,TRUE,https://j-archive.com/showgame.php?game_id=3010,13
3010,2808,1996-11-13T00:00:00Z,1996 Celebrity Jeopardy! game 3.,Matthew Fox,0,TRUE,https://j-archive.com/showgame.php?game_id=3010,13
3009,2807,1996-11-12T00:00:00Z,1996 Celebrity Jeopardy! game 2.,Melissa Gilbert,4200,FALSE,https://j-archive.com/showgame.php?game_id=3009,13
3009,2807,1996-11-12T00:00:00Z,1996 Celebrity Jeopardy! game 2.,Isaac Mizrahi,10900,TRUE,https://j-archive.com/showgame.php?game_id=3009,13
3009,2807,1996-11-12T00:00:00Z,1996 Celebrity Jeopardy! game 2.,Sandra Bernhard,6350,FALSE,https://j-archive.com/showgame.php?game_id=3009,13
2870,2806,1996-11-11T00:00:00Z,"1996 Celebrity Jeopardy! game 1.
 New set.",Beverly Sills,0,FALSE,https://j-archive.com/showgame.php?game_id=2870,13
2870,2806,1996-11-11T00:00:00Z,"1996 Celebrity Jeopardy! game 1.
 New set.",John Mahoney,9200,FALSE,https://j-archive.com/showgame.php?game_id=2870,13
2870,2806,1996-11-11T00:00:00Z,"1996 Celebrity Jeopardy! game 1.
 New set.",Laura Innes,12200,TRUE,https://j-archive.com/showgame.php?game_id=2870,13
1154,2805,1996-11-08T00:00:00Z,Last show in 1991-1996 set.,Marv Macintyre,6799,TRUE,https://j-archive.com/showgame.php?game_id=1154,13
1154,2805,1996-11-08T00:00:00Z,Last show in 1991-1996 set.,Susan Giannetto,1600,FALSE,https://j-archive.com/showgame.php?game_id=1154,13
1154,2805,1996-11-08T00:00:00Z,Last show in 1991-1996 set.,Sasha Volokh,3199,FALSE,https://j-archive.com/showgame.php?game_id=1154,13
5032,2804,1996-11-07T00:00:00Z,,Marv Macintyre,12500,TRUE,https://j-archive.com/showgame.php?game_id=5032,13
5032,2804,1996-11-07T00:00:00Z,,Kathy Applebaum,3000,FALSE,https://j-archive.com/showgame.php?game_id=5032,13
5032,2804,1996-11-07T00:00:00Z,,Pat Stivers,7801,FALSE,https://j-archive.com/showgame.php?game_id=5032,13
6753,2803,1996-11-06T00:00:00Z,,Alice Rote,4300,FALSE,https://j-archive.com/showgame.php?game_id=6753,13
6753,2803,1996-11-06T00:00:00Z,,Marv Macintyre,9400,TRUE,https://j-archive.com/showgame.php?game_id=6753,13
6753,2803,1996-11-06T00:00:00Z,,Meridith Patera,9195,FALSE,https://j-archive.com/showgame.php?game_id=6753,13
6752,2802,1996-11-05T00:00:00Z,,Alice Rote,16401,TRUE,https://j-archive.com/showgame.php?game_id=6752,13
6752,2802,1996-11-05T00:00:00Z,,George Klos,0,FALSE,https://j-archive.com/showgame.php?game_id=6752,13
6752,2802,1996-11-05T00:00:00Z,,Chris Belanger,10200,FALSE,https://j-archive.com/showgame.php?game_id=6752,13
5568,2801,1996-11-04T00:00:00Z,,Kalyan Farrington,2273,FALSE,https://j-archive.com/showgame.php?game_id=5568,13
5568,2801,1996-11-04T00:00:00Z,,Alice Rote,6399,TRUE,https://j-archive.com/showgame.php?game_id=5568,13
5568,2801,1996-11-04T00:00:00Z,,Frank Sitarski,-1600,FALSE,https://j-archive.com/showgame.php?game_id=5568,13
5570,2800,1996-11-01T00:00:00Z,,Kalyan Farrington,12327,TRUE,https://j-archive.com/showgame.php?game_id=5570,13
5570,2800,1996-11-01T00:00:00Z,,Margaret Sankey,12200,FALSE,https://j-archive.com/showgame.php?game_id=5570,13
5570,2800,1996-11-01T00:00:00Z,,Tim Malec,9000,FALSE,https://j-archive.com/showgame.php?game_id=5570,13
5571,2798,1996-10-30T00:00:00Z,,Carl Kruglak,4800,FALSE,https://j-archive.com/showgame.php?game_id=5571,13
5571,2798,1996-10-30T00:00:00Z,,Laura Sparrow,9600,FALSE,https://j-archive.com/showgame.php?game_id=5571,13
5571,2798,1996-10-30T00:00:00Z,,Kalyan Farrington,10227,TRUE,https://j-archive.com/showgame.php?game_id=5571,13
5572,2797,1996-10-29T00:00:00Z,,Dave Priestly,13600,FALSE,https://j-archive.com/showgame.php?game_id=5572,13
5572,2797,1996-10-29T00:00:00Z,,Carl Kruglak,13801,TRUE,https://j-archive.com/showgame.php?game_id=5572,13
5572,2797,1996-10-29T00:00:00Z,,Debbie Saunders,6600,FALSE,https://j-archive.com/showgame.php?game_id=5572,13
5574,2791,1996-10-21T00:00:00Z,,Charles Miller,-100,FALSE,https://j-archive.com/showgame.php?game_id=5574,13
5574,2791,1996-10-21T00:00:00Z,,Andy McKay,600,FALSE,https://j-archive.com/showgame.php?game_id=5574,13
5574,2791,1996-10-21T00:00:00Z,,MaryAnn Toner,2600,TRUE,https://j-archive.com/showgame.php?game_id=5574,13
5578,2788,1996-10-16T00:00:00Z,,Carl Eeman,2199,FALSE,https://j-archive.com/showgame.php?game_id=5578,13
5578,2788,1996-10-16T00:00:00Z,,Lissa Anderson,8000,TRUE,https://j-archive.com/showgame.php?game_id=5578,13
5578,2788,1996-10-16T00:00:00Z,,Jim Ellis,2000,FALSE,https://j-archive.com/showgame.php?game_id=5578,13
5393,2787,1996-10-15T00:00:00Z,,Kathy Robbins,5599,FALSE,https://j-archive.com/showgame.php?game_id=5393,13
